SITE|FECHA|SEGMENTO|SENT_TG|SENT_CG|INSTALLS_TG|INSTALLS_CG|GASTO_TG|INSTALL_TOUCH|BUYERS_2D|BUYERS_5D|BUYERS_30D|GMV INSTALL|REVENUE|TC|GMV_INC_30D|REVENUE_INC_30D|FREQ_INC_30D|SENT_MAIL|SENT_CAMP|OPEN_MAIL|OPEN_CAMP
MLC|2020-12-28|ALTO|118654.0|50000.0|449.0|162.0|0.0|240.0|106|120.0|195.0|5991.65|479.332|710.2575|11144.43648|891.2344472999997|247.1523531|55187.0|100758.0|3269.0|149.0
MLC|2020-12-28|MEDIO|97649.0|50000.0|403.0|136.0|232.3101129|230.0|133|139.0|162.0|5130.73|410.4584|710.2575|11144.43648|891.2344472999997|247.1523531|38274.0|82941.0|2654.0|330.0
MLC|2020-12-28|BAJO|106055.0|50000.0|447.0|100.0|450.540825|264.0|132|147.0|193.0|7613.02|609.0416|710.2575|11144.43648|891.2344472999997|247.1523531|41565.0|88980.0|2586.0|283.0
MLC|2021-01-04|ALTO|129159.0|50000.0|774.0|273.0|0.0|380.0|158|190.0|284.0|10454.51|836.3608|710.9493|17494.06782|1398.983334|334.1906524|59145.0|109564.0|4320.0|216.0
MLC|2021-01-04|MEDIO|114344.0|50000.0|668.0|205.0|396.65275710000003|366.0|205|226.0|265.0|9143.62|731.4896|710.9493|17494.06782|1398.983334|334.1906524|46532.0|97268.0|4639.0|416.0
MLC|2021-01-04|BAJO|117833.0|50000.0|604.0|142.0|759.5478327000003|323.0|186|198.0|231.0|9896.79|791.7432|710.9493|17494.06782|1398.983334|334.1906524|47544.0|99684.0|3476.0|369.0
MCO|2021-01-12|ALTO|195276.0|50000.0|525.0|120.0|0.0|266.0|96|122.0|171.0|3901.8|397.9836|3478.1399|5957.121571|607.5548976|194.3075914|76310.0|165911.0|7305.0|278.0
MCO|2021-01-12|MEDIO|123232.0|50000.0|575.0|122.0|448.51559879999996|369.0|190|212.0|246.0|5476.67|558.62034|3478.1399|5957.121571|607.5548976|194.3075914|49205.0|104726.0|4770.0|569.0
MCO|2021-01-12|BAJO|101441.0|50000.0|366.0|78.0|297.5728492|218.0|109|123.0|145.0|2674.79|272.82858|3478.1399|5957.121571|607.5548976|194.3075914|41163.0|86133.0|3190.0|278.0
MLM|2021-01-04|ALTO|386714.0|50000.0|2265.0|258.0|0.0|1158.0|505|629.0|916.0|31654.36|3481.9796|19.8457|60739.12862999999|6681.30415|1098.708753|138406.0|326767.0|17173.0|1291.0
